title,price,category_price
Pilas Energeizer AAA x 2 Unidades,2.69,Low
Audífonos Inalámbricos Energy Sistem Style 2 True Coconut,47.04,Low
Parlante Mini 3 Pro Souncore,69.99,Low
"Televisor Samsung The Serif QLED Smart TV 4K 55""",1499.0,High
Parlante Energy Sistem Urban 2 Onyx,39.99,Low
Cámara GoPro Hero 6 Black 12 MP,871.99,High
Micrófono Inalámbrico Profesional Bazzuka UHF 2 Transmisor,259.0,Low
Audífonos Inalámbricos Energy Sistem Sport 2 True Negro,49.0,Low
"Televisor Samsung The Frame QLED Smart TV 4K 65""",2799.0,High
Parlante Energy Sistem Urban 2 Ocean,39.99,Low
"Televisor Samsung QLED Smart TV 4K 85""",4959.0,High
Pilas Energeizer AA x 2 Unidades,2.69,Low
Audífonos Inalámbricos Bazzuka X201 Blanco/Gris,44.99,Low
"Televisor Samsung QLED Smart TV 4K 70""",2518.99,High
Parlante Energy Sistem Urban 5+ Space,99.0,Low
Parlante Bazzuka Negro 3.000 Watts PMPO,159.0,Low
"Televisor Samsung Neo QLED Smart TV 8K 85""",9749.0,High
Audífonos Inalámbricos Energy Sistem Urban 4 True Vainilla,44.99,Low
"Televisor Prima Smart Neo/Web Os 65""",999.01,High
Parlante Portable Bazzuka Rojo 7.5 Watts RMS,99.99,Low
Parlante Doble Indigo 16.000 Watts PMPO,359.0,Medium
Audífonos Inalámbricos Bazzuka X201 Negro/Verde,44.99,Low
Parlante Portable Bazzuka Negro 7.5 Watts RMS,99.99,Low
Audífonos Inalámbricos Energy Sistem Sport 1 Ocean,29.99,Low
"Televisor Prima LED Smart TV 4K 55"" WebOs",799.0,High
Parlante Portable Bazzuka Negro con Naranja 5 Watts RMS,48.99,Low
Cámara de Seguridad con Movimiento 2K Eufy,92.99,Low
Audífonos Inalámbricos Maxell Halo EB-BT,30.99,Low
Parlante Amplificado Bazzuka B515,349.0,Medium
Audífonos Alámbricos BWOO BO-HF12,9.99,Low
Parlante Flare 2 Soundcore,119.0,Low
"Televisor Prima LED UHD Smart TV 50""",689.0,High
Audífonos Alámbricos Energy Sistem Style 1 Talk Negro,29.99,Low
Interruptor Nexxt Smart WIFI,21.99,Low
Parlante Profesional Bazzuka Negro 350 Watts RMS,409.0,Medium
Audífonos Inalámbricos Maxell BT750,26.88,Low
Parlante Bazzuka Negro 250 Watts RMS,229.51,Low
Parlante Italy Audio Negro,119.0,Low
Audífonos Inalámbricos Energy Sistem Style 7 True Navy,140.0,Low
Foco de Filamento Nexxt Smart WIFI Ambar 110V,19.0,Low
"Televisor Indurama Google TV 50""",429.0,Medium
"Televisor Indurama Google TV 65""",999.01,High
Enchufe Inteligente Nexxt 2 Tomas,37.98,Low
"Televisor Indurama Google TV 58""",652.97,High
Audífonos Inalámbricos Maxell Rojo,29.99,Low
Sensor de Seguridad Maxell MSS-DWS1,29.99,Low
"Televisor Indurama Google Tv 43""",499.0,Medium
Micrófono Inalámbrico Bazzuka UHF 2 Transmisor,119.0,Low
Sensor de Movimiento Inteligente Maxell,39.0,Low
Smart IR Controller Maxell,29.99,Low
"Televisor Samsung Smartv 4K 75""",1285.0,High
"Televisor Qled Samsung 4K Q80B 98""",8498.99,High
Audífonos Gamer Havit H139d,17.99,Low
Audífonos Alámbricos BWOO BO-HF20,7.0,Low
Audífonos con Cancelación de Ruido Soundcore,124.99,Low
Audifonos Life Q10 Tipo Diadema Soundcore,94.0,Low
Micrófono Inalámbrico Bazzuka UHF 1 Transmisor,64.99,Low
Audífonos Alámbricos Energy Sistem DJ2 Blanco,34.99,Low
Audífonos Lol&Roll Pop Kids Naranja,7.99,Low
Audífonos Lol&Roll Pop Kids Azul,7.99,Low
Audífonos Lol&Roll Pop Kids Rosado,7.99,Low
Audífonos Alámbricos Sony MDRE9LP,14.0,Low
Audífonos Alámbricos Maxell HP-200,8.99,Low
Audífonos Inalámbricos Maxell EB-BT100,20.99,Low
Audífonos Alámbricos Maxell IN-225,5.99,Low
Audífonos Alámbricos BWOO BO-HF23,11.01,Low
Audífonos Gamer Havit H2116D,22.99,Low
Parlante Profesional Bazzuka Negro 500 Watts RMS,739.99,High
"Televisor Riviera LED 32""",199.0,Low
"Televisor Motorola 50TMKUHD Google Tv 50""",639.0,High
"Televisor Riviera LED UHD 4K 65""",639.0,High
"Televisor Motorola 43TMKFHD Google Tv 43""",459.0,Medium
"Televisor Pirma con android 32""",259.0,Low
Streaming Roku Express 4K Hdr Wifi Compatible Google/alexa Negro,119.0,Low
Audífonos Cubitt Gen2,36.0,Low
Streaming Roku Express 4K Hdr Wifi  Compatible Google/alexa Negro,99.0,Low
Parlante JBL Speaker BT Boombox 3 Camouflaje,499.0,Medium
Parlante Bazzuka Negro 50.000 Watts PMPO,279.99,Low
Televisor LG 55UR7800PSB 55 Pulgadas,816.26,High
Audífonos Cubitt,40.0,Low
"Televisor Motorola 86TMKQLED Google Tv 86""",2500.0,High
"Televisor Motorola 65TMKQLED Google Tv 65""",1099.0,High
"Televisor Motorola 55TMKUHD Google Tv 55""",799.0,High
Audífonos JBL T500 Wired On-Ear Black S. Ame,46.99,Low
Parlante Bazzuka Profesional P315W,559.0,Medium
Parlante Sudio S2 Inalámbrico Negro,71.0,Low
Parlante Sudio S2 Inalámbrico Gris,71.0,Low
Cerradura Kwikset Halo Smart con Código-250 Usuarios Táctil Historial Niquel Satinado,284.0,Low
Cerradura Kwikset Halo Smart con Código-250 Usuarios Táctil Historial Negro Mate,284.0,Low
Cerradura Kwikset Halo Smart 100 Huellas Dactilares Historial Niquel Satinado,310.01,Medium
Cerradura Kwikset Halo Smart 100 Huellas Dactilares Historial Negro Mate,310.01,Medium
Cámara Para Auto Geko 1.5 Pulg. Full Hd 132 1.5 Wifi Espejo Punto Ciego Negro,133.99,Low
Audífonos Sudio A1 Pro Inalámbrico Estilo con cancelación de Ruido Negro,94.0,Low
Audífonos Sudio A1 Pro Inalámbrico Estilo con cancelación de Ruido Color Arena,94.0,Low
Audífonos Sudio A1 Inalámbrico Estilo con cancelación de Ruido Purpura,70.09,Low
Audífonos Sudio A1 Inalámbrico Estilo con cancelación de Ruido Negro,70.09,Low
Audífonos Sudio A1 Inalámbrico Estilo con cancelación de Ruido Blanco,70.09,Low
Audífonos Sudio A1 Inalámbrico Estilo con cancelación de Ruido Azul,70.09,Low
Audífonos Skullcandy Jib In Ear W/Mic,13.0,Low
Audífonos Skullcandy Push Active True Wireless In Ear,159.0,Low
Audífonos Skullcandy Mod True Wireless In Ear,99.0,Low
Audífonos Skullcandy Hesh Evo Wireless Over-Ear,159.0,Low
Audífonos Skullcandy Hesh Anc Wireless Over-Ear,229.0,Low
Audífonos Skullcandy Jib True Wireless In Ear,69.99,Low
Audífonos Skullcandy Dime True Wireless In Ear,60.0,Low
Audífonos Devia con Micrófono Blanco,7.99,Low
Timbre inteligente con cámara y conexión Wi-Fi,109.0,Low
Cámara inteligente Wi-Fi con reflectores y detector de movimiento integrados,149.99,Low
Audífonos JBL Headphone T500 Wired On-ear Azul,39.99,Low
